"Classification","Year","Period","Period Desc.","Aggregate Level","Is Leaf Code","Trade Flow Code","Trade Flow","Reporter Code","Reporter","Reporter ISO","Partner Code","Partner","Partner ISO","2nd Partner Code","2nd Partner","2nd Partner ISO","Customs Proc. Code","Customs","Mode of Transport Code","Mode of Transport","Commodity Code","Commodity","Qty Unit Code","Qty Unit","Qty","Alt Qty Unit Code","Alt Qty Unit","Alt Qty","Netweight (kg)","Gross weight (kg)","Trade Value (US$)","CIF Trade Value (US$)","FOB Trade Value (US$)","Flag"
"H1",2000,2000,2000,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,538409,,538409,,189437,,,0
"H1",2000,2000,2000,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,1561,,1561,,297,,,0
"H1",2000,2000,2000,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,112458,,112458,,47395,,,0
"H1",2000,2000,2000,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,424390,,424390,,141745,,,0
"H1",2001,2001,2001,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,1020116,,1020116,,355026,,,0
"H1",2001,2001,2001,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,75424,,75424,,11774,,,0
"H1",2001,2001,2001,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,178901,,178901,,65190,,,0
"H1",2001,2001,2001,4,0,2,"Export",450,"Madagascar","MDG",418,"Lao People's Dem. Rep.","LAO",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,18000,,18000,,8755,,,0
"H1",2001,2001,2001,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,747791,,747791,,269308,,,0
"H2",2002,2002,2002,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,478637,,478637,,164471,,,0
"H2",2002,2002,2002,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,94207,,94207,,25616,,,0
"H2",2002,2002,2002,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,33200,,33200,,7970,,,0
"H2",2002,2002,2002,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,351230,,351230,,130885,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,705973,,705973,,367097,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,161404,,161404,,82665,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,63014,,63014,,38685,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,453555,,453555,,236925,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",899,"Areas, nes",,,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,28000,,28000,,8823,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,979521,,979521,,522719,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",100,"Bulgaria","BGR",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,1000,,1000,,128,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,264430,,264430,,123860,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,39117,,39117,,24158,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",360,"Indonesia","IDN",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,119952,,119952,,65797,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,535022,,535022,,295089,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",899,"Areas, nes",,,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,20000,,20000,,13688,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,329663,,329663,,167923,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,232695,,232695,,128461,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,23047,,23047,,7103,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,73921,,73921,,32359,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,909375,,909375,,473389,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",124,"Canada","CAN",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,1650,,1650,,483,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,297590,,297590,,133129,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,47100,,47100,,15908,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked",8,"Weight in kilograms",,,563035,,563035,,323869,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,1077711,,1077711,,648107,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",56,"Belgium","BEL",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,200,,200,,109,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,251840,,251840,,109321,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,72977,,72977,,22737,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,13438,,13438,,3122,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,736256,,736256,,512235,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",710,"South Africa","ZAF",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,3000,,3000,,582,,,0
